,case:id,case:concept:name,Operation,concept:name,time:timestamp,Question,Report,Year,Category,Type
113,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-11-22 07:54:39.260528,P5,A37,2020,Professional,Calculate statistics
114,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-22 08:54:39.260528,P5,A37,2020,Professional,Calculate statistics
115,A1 P6 BPI 2020,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2021-11-22 09:54:39.260528,P6,A1,2020,Academic,Manipulation
116,A1 P6 BPI 2020,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-11-22 10:54:39.260528,P6,A1,2020,Academic,Analyze Cycle Time
117,A2 P6 BPI 2020,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 11:54:39.260528,P6,A2,2020,Student,Analyze Cycle Time
118,A2 P6 BPI 2020,A2 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-22 12:54:39.260528,P6,A2,2020,Student,Analyze Cycle Time
119,A2 P6 BPI 2020,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-22 13:54:39.260528,P6,A2,2020,Student,Representation
120,A7 P6 BPI 2020,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 14:54:39.260528,P6,A7,2020,Academic,Analyze Cycle Time
121,A7 P6 BPI 2020,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2021-11-22 15:54:39.260528,P6,A7,2020,Academic,Manipulation
122,A7 P6 BPI 2020,A7 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-22 16:54:39.260528,P6,A7,2020,Academic,Analyze Cycle Time
123,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-11-22 17:54:39.260528,P6,A10,2020,Academic,Manipulation
124,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-22 18:54:39.260528,P6,A10,2020,Academic,Calculate statistics
125,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-11-22 19:54:39.260528,P6,A10,2020,Academic,Analyze Cycle Time
126,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-11-22 20:54:39.260528,P6,A10,2020,Academic,Manipulation
127,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-22 21:54:39.260528,P6,A10,2020,Academic,Calculate statistics
128,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-11-22 22:54:39.260528,P6,A10,2020,Academic,Analyze Cycle Time
129,A12 P6 BPI 2020,A12 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-22 23:54:39.260528,P6,A12,2020,Professional,Analyze Cycle Time
130,A12 P6 BPI 2020,A12 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 00:54:39.260528,P6,A12,2020,Professional,Analyze Cycle Time
131,A13 P6 BPI 2020,A13 P6 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-23 01:54:39.260528,P6,A13,2020,Professional,Manipulation
132,A13 P6 BPI 2020,A13 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-23 02:54:39.260528,P6,A13,2020,Professional,Representation
133,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-11-23 03:54:39.260528,P6,A13,2020,Professional,Analyze Cycle Time
134,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate frequency,Calculate frequency of variants,2021-11-23 04:54:39.260528,P6,A13,2020,Professional,Calculate statistics
135,A13 P6 BPI 2020,A13 P6 BPI 2020,Calculate intervals of time of the traces,Calculate intervals of time of the traces,2021-11-23 05:54:39.260528,P6,A13,2020,Professional,Analyze Cycle Time
136,A13 P6 BPI 2020,A13 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 06:54:39.260528,P6,A13,2020,Professional,Analyze Cycle Time
137,A25 P6 BPI 2020,A25 P6 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-11-23 07:54:39.260528,P6,A25,2020,Student,Representation
138,A25 P6 BPI 2020,A25 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-23 08:54:39.260528,P6,A25,2020,Student,Analyze Cycle Time
