,case:id,case:concept:name,concept:name,Variant,time:timestamp,Question,Report,Year,Category,Type,Tupla,Organization
98,A18 P5 BPI 2020,A18 P5 BPI 2020,Identify bottlenecks,Identify sub-processes as bottlenecks applying temporal performance criteria,2021-11-23 11:37:02.248560,P5,A18,2020,Academic,Analyze Cycle Time,A182020,PolitecnicodiMilano
99,A25 P5 BPI 2020,A25 P5 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-23 12:37:02.248560,P5,A25,2020,Student,Analyze Cycle Time,A252020,
100,A25 P5 BPI 2020,A25 P5 BPI 2020,Represent bar charts,Represent bar charts of cycle time,2021-11-23 13:37:02.248560,P5,A25,2020,Student,Representation,A252020,
101,A25 P5 BPI 2020,A25 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 14:37:02.248560,P5,A25,2020,Student,Analyze Cycle Time,A252020,
102,A26 P5 BPI 2020,A26 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-23 15:37:02.248560,P5,A26,2020,Professional,Representation,A262020,Sberbank
103,A26 P5 BPI 2020,A26 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 16:37:02.248560,P5,A26,2020,Professional,Analyze Cycle Time,A262020,Sberbank
104,A28 P5 BPI 2020,A28 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-11-23 17:37:02.248560,P5,A28,2020,Professional,Analyze Cycle Time,A282020,Sberbank
105,A28 P5 BPI 2020,A28 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-23 18:37:02.248560,P5,A28,2020,Professional,Calculate statistics,A282020,Sberbank
106,A28 P5 BPI 2020,A28 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-11-23 19:37:02.248560,P5,A28,2020,Professional,Analyze Cycle Time,A282020,Sberbank
107,A35 P5 BPI 2020,A35 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 20:37:02.248560,P5,A35,2020,Professional,Analyze Cycle Time,A352020,
108,A35 P5 BPI 2020,A35 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 21:37:02.248560,P5,A35,2020,Professional,Analyze Cycle Time,A352020,
109,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 22:37:02.248560,P5,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
110,A37 P5 BPI 2020,A37 P5 BPI 2020,Compare cycle time,Compare cycle time,2021-11-23 23:37:02.248560,P5,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
111,A37 P5 BPI 2020,A37 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-11-24 00:37:02.248560,P5,A37,2020,Professional,Analyze Cycle Time,A372020,Sberbank
112,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate frequency,Calculate frequency of attributes,2021-11-24 01:37:02.248560,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
113,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-11-24 02:37:02.248560,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
114,A37 P5 BPI 2020,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-24 03:37:02.248560,P5,A37,2020,Professional,Calculate statistics,A372020,Sberbank
115,A1 P6 BPI 2020,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2021-11-24 04:37:02.248560,P6,A1,2020,Academic,Manipulation,A12020,TechnischeUniversitätBerlin
116,A1 P6 BPI 2020,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-11-24 05:37:02.248560,P6,A1,2020,Academic,Analyze Cycle Time,A12020,TechnischeUniversitätBerlin
117,A2 P6 BPI 2020,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-24 06:37:02.248560,P6,A2,2020,Student,Analyze Cycle Time,A22020,FacultyofScienceUtrechtUniversity
118,A2 P6 BPI 2020,A2 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-24 07:37:02.248560,P6,A2,2020,Student,Analyze Cycle Time,A22020,FacultyofScienceUtrechtUniversity
119,A2 P6 BPI 2020,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-24 08:37:02.248560,P6,A2,2020,Student,Representation,A22020,FacultyofScienceUtrechtUniversity
120,A7 P6 BPI 2020,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-11-24 09:37:02.248560,P6,A7,2020,Academic,Analyze Cycle Time,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
121,A7 P6 BPI 2020,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2021-11-24 10:37:02.248560,P6,A7,2020,Academic,Manipulation,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
122,A7 P6 BPI 2020,A7 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-24 11:37:02.248560,P6,A7,2020,Academic,Analyze Cycle Time,A72020,GermanResearchCenterforArtificialIntelligenceDFKI
123,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-11-24 12:37:02.248560,P6,A10,2020,Academic,Manipulation,A102020,InternalAuditDepartmentRostovonDon
124,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-11-24 13:37:02.248560,P6,A10,2020,Academic,Calculate statistics,A102020,InternalAuditDepartmentRostovonDon
125,A10 P6 BPI 2020,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-11-24 14:37:02.248560,P6,A10,2020,Academic,Analyze Cycle Time,A102020,InternalAuditDepartmentRostovonDon
126,A10 P6 BPI 2020,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-11-24 15:37:02.248560,P6,A10,2020,Academic,Manipulation,A102020,InternalAuditDepartmentRostovonDon
