,case:concept:name,General activity,Specific activity,Time,Question,Year
116,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-07-07 17:27:38.187819,P6,2020
117,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:38.208885,P6,2020
118,A2 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.224644,P6,2020
119,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:38.238885,P6,2020
120,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:38.245720,P6,2020
121,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2021-07-07 17:27:38.261200,P6,2020
122,A7 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.274860,P6,2020
123,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:38.294773,P6,2020
124,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:38.311652,P6,2020
125,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-07-07 17:27:38.324028,P6,2020
126,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:38.359637,P6,2020
127,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-07-07 17:27:38.376602,P6,2020
128,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-07-07 17:27:38.395849,P6,2020
129,A12 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:38.413181,P6,2020
130,A12 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.442184,P6,2020
131,A13 P6 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:38.463679,P6,2020
132,A13 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:38.484959,P6,2020
133,A13 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-07-07 17:27:38.494114,P6,2020
134,A13 P6 BPI 2020,Calculate frequency,Calculate frequency of variants,2021-07-07 17:27:38.511292,P6,2020
135,A13 P6 BPI 2020,Calculate intervals of time of the traces, ,2021-07-07 17:27:38.527281,P6,2020
136,A13 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.556033,P6,2020
137,A25 P6 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:38.573731,P6,2020
138,A25 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-07-07 17:27:38.582874,P6,2020
139,A25 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.613596,P6,2020
140,A26 P6 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-07-07 17:27:38.626136,P6,2020
141,A26 P6 BPI 2020,Represent process map,Get process map from the previous question,2021-07-07 17:27:38.671779,P6,2020
142,A26 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:38.696405,P6,2020
143,A28 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-07-07 17:27:38.737438,P6,2020
144,A35 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:38.776395,P6,2020
145,A35 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-07-07 17:27:38.807540,P6,2020
146,A37 P6 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:38.839138,P6,2020
147,A37 P6 BPI 2020,Preprocess the traces of the logs, ,2021-07-07 17:27:38.867841,P6,2020
148,A37 P6 BPI 2020,Calculate number of elements,Calculate number of variants,2021-07-07 17:27:38.875962,P6,2020
149,A37 P6 BPI 2020,Calculate number of elements,Calculate number of different organizational units,2021-07-07 17:27:38.902869,P6,2020
150,A37 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-07-07 17:27:38.916881,P6,2020
151,A37 P6 BPI 2020,Compare cycle time, ,2021-07-07 17:27:38.942840,P6,2020
152,A2 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-07-07 17:27:38.955944,P5,2015
153,A2 P5 BPI 2015,Filter events,Filter events by cycle time,2021-07-07 17:27:38.993847,P5,2015
154,A2 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:39.029255,P5,2015
155,A2 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.053515,P5,2015
156,A3 P5 BPI 2015,Group activities,Group activities by sub-processes,2021-07-07 17:27:39.076888,P5,2015
157,A3 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-07-07 17:27:39.109184,P5,2015
158,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-07-07 17:27:39.137456,P5,2015
159,A3 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-07-07 17:27:39.153269,P5,2015
160,A3 P5 BPI 2015,Represent bar charts,Represent bar charts of traces,2021-07-07 17:27:39.175945,P5,2015
161,A3 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.193683,P5,2015
162,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-07-07 17:27:39.217857,P5,2015
163,A4 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-07-07 17:27:39.227751,P5,2015
164,A4 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.250738,P5,2015
165,A4 P5 BPI 2015,Identify impact of bottlenecks by organizational unit, ,2021-07-07 17:27:39.268355,P5,2015
166,A4 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.285861,P5,2015
167,A7 P5 BPI 2015,Filter traces,Filter traces by attributes,2021-07-07 17:27:39.306147,P5,2015
168,A7 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:39.318868,P5,2015
169,A7 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:39.351043,P5,2015
170,A7 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.365210,P5,2015
171,A7 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.385944,P5,2015
172,A7 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-07-07 17:27:39.406077,P5,2015
