,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
101,A25 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.550107,A25,P5,2020,Student,Analyze Cycle Time
102,A26 P5 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.550107,A26,P5,2020,Professional,Representation
103,A26 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.565730,A26,P5,2020,Professional,Analyze Cycle Time
104,A28 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.565730,A28,P5,2020,Professional,Analyze Cycle Time
105,A28 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.585832,A28,P5,2020,Professional,Calculate statistics
106,A28 P5 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:14.590819,A28,P5,2020,Professional,Analyze Cycle Time
107,A35 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.600792,A35,P5,2020,Professional,Analyze Cycle Time
108,A35 P5 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.607773,A35,P5,2020,Professional,Analyze Cycle Time
109,A37 P5 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.615659,A37,P5,2020,Professional,Analyze Cycle Time
110,A37 P5 BPI 2020,Compare cycle time, ,2021-10-19 12:47:14.624618,A37,P5,2020,Professional,Analyze Cycle Time
111,A37 P5 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.633628,A37,P5,2020,Professional,Analyze Cycle Time
112,A37 P5 BPI 2020,Calculate frequency,Calculate frequency of attributes,2021-10-19 12:47:14.638615,A37,P5,2020,Professional,Calculate statistics
113,A37 P5 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-10-19 12:47:14.645582,A37,P5,2020,Professional,Calculate statistics
114,A37 P5 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.648607,A37,P5,2020,Professional,Calculate statistics
115,A1 P6 BPI 2020,Filter traces,Filter traces depending on the order of activities,2021-10-19 12:47:14.648607,A1,P6,2020,Academic,Manipulation
116,A1 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.664274,A1,P6,2020,Academic,Analyze Cycle Time
117,A2 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.664274,A2,P6,2020,Student,Analyze Cycle Time
118,A2 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.679850,A2,P6,2020,Student,Analyze Cycle Time
119,A2 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.679850,A2,P6,2020,Student,Representation
