,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category
139,A25 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.815204,A25,P6,2020,Student
140,A26 P6 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.837840,A26,P6,2020,Professional
141,A26 P6 BPI 2020,Represent process map,Get process map from the previous question,2021-10-19 12:47:14.850347,A26,P6,2020,Professional
142,A26 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.855324,A26,P6,2020,Professional
143,A28 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.866302,A28,P6,2020,Professional
144,A35 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.876276,A35,P6,2020,Professional
145,A35 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.882259,A35,P6,2020,Professional
146,A37 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.883241,A37,P6,2020,Professional
147,A37 P6 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.883241,A37,P6,2020,Professional
148,A37 P6 BPI 2020,Calculate number of elements,Calculate number of variants,2021-10-19 12:47:14.898901,A37,P6,2020,Professional
149,A37 P6 BPI 2020,Calculate number of elements,Calculate number of different organizational units,2021-10-19 12:47:14.898901,A37,P6,2020,Professional
150,A37 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-10-19 12:47:14.898901,A37,P6,2020,Professional
151,A37 P6 BPI 2020,Compare cycle time, ,2021-10-19 12:47:14.914522,A37,P6,2020,Professional
152,A2 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:14.914522,A2,P5,2015,Student
153,A2 P5 BPI 2015,Filter events,Filter events by cycle time,2021-10-19 12:47:14.930106,A2,P5,2015,Student
154,A2 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.938114,A2,P5,2015,Student
155,A2 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.938114,A2,P5,2015,Student
156,A3 P5 BPI 2015,Group activities,Group activities by sub-processes,2021-10-19 12:47:14.953773,A3,P5,2015,Professional
157,A3 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.953773,A3,P5,2015,Professional
158,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.969393,A3,P5,2015,Professional
159,A3 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-10-19 12:47:14.969393,A3,P5,2015,Professional
160,A3 P5 BPI 2015,Represent bar charts,Represent bar charts of traces,2021-10-19 12:47:14.969393,A3,P5,2015,Professional
161,A3 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.989104,A3,P5,2015,Professional
162,A3 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.997082,A3,P5,2015,Professional
163,A4 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.020020,A4,P5,2015,Academic
164,A4 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.028026,A4,P5,2015,Academic
165,A4 P5 BPI 2015,Identify impact of bottlenecks by organizational unit, ,2021-10-19 12:47:15.035014,A4,P5,2015,Academic
166,A4 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.039994,A4,P5,2015,Academic
167,A7 P5 BPI 2015,Filter traces,Filter traces by attributes,2021-10-19 12:47:15.048166,A7,P5,2015,Academic
168,A7 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:15.048166,A7,P5,2015,Academic
169,A7 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:15.063789,A7,P5,2015,Academic
170,A7 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.063789,A7,P5,2015,Academic
171,A7 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.063789,A7,P5,2015,Academic
172,A7 P5 BPI 2015,Represent process map,Represent process map with cycle time,2021-10-19 12:47:15.079429,A7,P5,2015,Academic
173,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.079429,A8,P5,2015,Professional
174,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.095067,A8,P5,2015,Professional
175,A8 P5 BPI 2015,Group traces,Group traces depending on attributes,2021-10-19 12:47:15.095067,A8,P5,2015,Professional
176,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.095067,A8,P5,2015,Professional
177,A8 P5 BPI 2015,Group traces,Group traces by cycle time,2021-10-19 12:47:15.110652,A8,P5,2015,Professional
178,A8 P5 BPI 2015,Group traces,Group traces by organizational units,2021-10-19 12:47:15.110652,A8,P5,2015,Professional
179,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.126311,A8,P5,2015,Professional
180,A8 P5 BPI 2015,Analyze cycle time depending on the events, ,2021-10-19 12:47:15.126311,A8,P5,2015,Professional
181,A8 P5 BPI 2015,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:15.137859,A8,P5,2015,Professional
182,A8 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.137859,A8,P5,2015,Professional
183,A8 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-10-19 12:47:15.137859,A8,P5,2015,Professional
184,A8 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.153521,A8,P5,2015,Professional
185,A8 P5 BPI 2015,Calculate frequency,Calculate frequency of activities,2021-10-19 12:47:15.153521,A8,P5,2015,Professional
186,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for each subset of traces,2021-10-19 12:47:15.153521,A8,P5,2015,Professional
187,A8 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.169106,A8,P5,2015,Professional
188,A8 P5 BPI 2015,Identify resources,Identify resource associated with bottlenecks,2021-10-19 12:47:15.169106,A8,P5,2015,Professional
